"gene.ID","log2FoldChange","up","down","Effect","gene.annotation"
"PGEN_.00g057120",-2.14021514587612,FALSE,TRUE,"Day7_MAversusAM","Chitotriosidase-1 (EC 3.2.1.14) (Chitinase-1)"
"PGEN_.00g057130",4.32109908964198,TRUE,FALSE,"Day14_primary","Acidic mammalian chitinase (AMCase) (EC 3.2.1.14) (Chitin-binding protein b04) (CBPb04)"
"PGEN_.00g057130",6.39521724643573,TRUE,FALSE,"Day21_primary","Acidic mammalian chitinase (AMCase) (EC 3.2.1.14) (Chitin-binding protein b04) (CBPb04)"
"PGEN_.00g057170",-2.22879232173935,FALSE,TRUE,"Day7_MAversusAM","Plasma kallikrein (EC 3.4.21.34) (Fletcher factor) (Kininogenin) (Plasma prekallikrein) [Cleaved into: Plasma kallikrein heavy chain; Plasma kallikrein light chain]"
"PGEN_.00g057170",-2.71970934001003,FALSE,TRUE,"Day7_second","Plasma kallikrein (EC 3.4.21.34) (Fletcher factor) (Kininogenin) (Plasma prekallikrein) [Cleaved into: Plasma kallikrein heavy chain; Plasma kallikrein light chain]"
"PGEN_.00g057170",5.25486542347605,TRUE,FALSE,"Day14_primary","Plasma kallikrein (EC 3.4.21.34) (Fletcher factor) (Kininogenin) (Plasma prekallikrein) [Cleaved into: Plasma kallikrein heavy chain; Plasma kallikrein light chain]"
"PGEN_.00g057170",7.65664530492714,TRUE,FALSE,"Day21_primary","Plasma kallikrein (EC 3.4.21.34) (Fletcher factor) (Kininogenin) (Plasma prekallikrein) [Cleaved into: Plasma kallikrein heavy chain; Plasma kallikrein light chain]"
"PGEN_.00g057190",5.74879162691252,TRUE,FALSE,"Day14_primary","Plasma kallikrein (EC 3.4.21.34) (Fletcher factor) (Kininogenin) (Plasma prekallikrein) (PKK) [Cleaved into: Plasma kallikrein heavy chain; Plasma kallikrein light chain]"
"PGEN_.00g057190",-1.9486540282132,FALSE,TRUE,"Day7_MAversusAM","Plasma kallikrein (EC 3.4.21.34) (Fletcher factor) (Kininogenin) (Plasma prekallikrein) (PKK) [Cleaved into: Plasma kallikrein heavy chain; Plasma kallikrein light chain]"
"PGEN_.00g057190",8.47068231557897,TRUE,FALSE,"Day21_primary","Plasma kallikrein (EC 3.4.21.34) (Fletcher factor) (Kininogenin) (Plasma prekallikrein) (PKK) [Cleaved into: Plasma kallikrein heavy chain; Plasma kallikrein light chain]"
"PGEN_.00g057310",5.64060696832976,TRUE,FALSE,"Day14_primary","Four-domain proteases inhibitor (McaPI)"
"PGEN_.00g057310",6.87423246059385,TRUE,FALSE,"Day21_primary","Four-domain proteases inhibitor (McaPI)"
"PGEN_.00g057310",-2.09684274256768,FALSE,TRUE,"Day7_MAversusAM","Four-domain proteases inhibitor (McaPI)"
"PGEN_.00g057310",4.81259233338269,TRUE,FALSE,"Day7_primary","Four-domain proteases inhibitor (McaPI)"
"PGEN_.00g057320",5.26661390167592,TRUE,FALSE,"Day14_primary","Four-domain proteases inhibitor (McaPI)"
"PGEN_.00g057550",4.22798733458943,TRUE,FALSE,"Day14_primary","Copine family protein 2"
"PGEN_.00g057590",-2.84614963922479,FALSE,TRUE,"Day7_primary",NA
"PGEN_.00g059060",-4.87402756889097,FALSE,TRUE,"Day14_primary",NA
"PGEN_.00g059680",6.67085115667801,TRUE,FALSE,"Day21_primary",NA
"PGEN_.00g059780",-2.72958933321098,FALSE,TRUE,"Day21_primary","ATP-dependent RNA helicase DDX18 (EC 3.6.4.13) (DEAD box protein 18)"
"PGEN_.00g059780",2.18324670258291,TRUE,FALSE,"Day14_primary","ATP-dependent RNA helicase DDX18 (EC 3.6.4.13) (DEAD box protein 18)"
"PGEN_.00g060690",4.06207836625746,TRUE,FALSE,"Day14_primary","Neurotactin"
"PGEN_.00g061000",1.10301667987959,TRUE,FALSE,"Day7_second","ATP-dependent RNA helicase dhx29 (EC 3.6.4.13) (DEAH box protein 29)"
"PGEN_.00g061000",0.740249191506956,TRUE,FALSE,"Day7_MAversusAM","ATP-dependent RNA helicase dhx29 (EC 3.6.4.13) (DEAH box protein 29)"
"PGEN_.00g061690",9.0476171067527,TRUE,FALSE,"Day21_primary",NA
"PGEN_.00g062480",10.4258547224177,TRUE,FALSE,"Day21_primary","E3 ubiquitin-protein ligase RNF213 (EC 2.3.2.27) (EC 3.6.4.-) (Mysterin) (RING finger protein 213) (RING-type E3 ubiquitin transferase RNF213)"
"PGEN_.00g062570",3.1174193026263,TRUE,FALSE,"Day7_primary","Ferric-chelate reductase 1 (EC 1.-.-.-) (Stromal cell-derived receptor 2) (SDR-2)"
"PGEN_.00g062570",-2.03422423738528,FALSE,TRUE,"Day7_MAversusAM","Ferric-chelate reductase 1 (EC 1.-.-.-) (Stromal cell-derived receptor 2) (SDR-2)"
"PGEN_.00g062920",1.55928821904026,TRUE,FALSE,"Day14_primary","Unconventional myosin-VI (Unconventional myosin-6)"
"PGEN_.00g063220",5.35208783170866,TRUE,FALSE,"Day14_primary",NA
"PGEN_.00g063890",8.17045146361034,TRUE,FALSE,"Day14_primary","Temptin"
"PGEN_.00g064390",5.56956583631399,TRUE,FALSE,"Day14_primary","Putative defense protein 1 (DFP-1)"
"PGEN_.00g064390",6.98347901287814,TRUE,FALSE,"Day21_primary","Putative defense protein 1 (DFP-1)"
"PGEN_.00g064780",-2.04393780496619,TRUE,FALSE,"Day0_primary","E3 ubiquitin-protein ligase rnf213-alpha (EC 2.3.2.27) (EC 3.6.4.-) (Mysterin-A) (Mysterin-alpha) (RING finger protein 213-A) (RING finger protein 213-alpha) (RING-type E3 ubiquitin transferase rnf213-alpha)"
"PGEN_.00g064970",1.63538597657692,TRUE,FALSE,"Day7_MAversusAM","Adhesion G-protein coupled receptor D1 (G-protein coupled receptor 133)"
"PGEN_.00g066160",-2.56290219266743,FALSE,TRUE,"Day7_primary",NA
"PGEN_.00g066340",3.95842124394553,TRUE,FALSE,"Day7_primary","Titin (EC 2.7.11.1) (Connectin)"
"PGEN_.00g066660",-2.05098444905798,FALSE,TRUE,"Day14_primary",NA
"PGEN_.00g067170",2.09702229566078,TRUE,FALSE,"Day14_primary",NA
"PGEN_.00g067170",-1.37913187070307,FALSE,TRUE,"Day7_second",NA
"PGEN_.00g068640",-4.43311630632463,FALSE,TRUE,"Day21_primary","Elongation factor 2 (EF-2)"
"PGEN_.00g069990",3.27126125225771,TRUE,FALSE,"Day14_primary","Protocadherin-like wing polarity protein stan (Protein flamingo) (Protein starry night)"
"PGEN_.00g069990",-2.89993709024142,FALSE,TRUE,"Day7_second","Protocadherin-like wing polarity protein stan (Protein flamingo) (Protein starry night)"
"PGEN_.00g070040",4.95661019782081,TRUE,FALSE,"Day14_primary","Apolipophorins [Cleaved into: Apolipophorin-2 (Apolipophorin II) (apoLp-2); Apolipophorin-1 (Apolipophorin I) (apoLp-1)]"
"PGEN_.00g070790",-1.95224030265132,FALSE,TRUE,"Day7_MAversusAM",NA
"PGEN_.00g070790",4.03773139939943,TRUE,FALSE,"Day14_primary",NA
"PGEN_.00g073190",4.01680886081387,TRUE,FALSE,"Day14_primary","Apolipophorins [Cleaved into: Apolipophorin-2 (Apolipophorin II) (apoLp-2); Apolipophorin-1 (Apolipophorin I) (apoLp-1)]"
"PGEN_.00g074210",-3.10217516631829,FALSE,TRUE,"Day14_primary","L-amino-acid oxidase (LAAO) (LAO) (EC 1.4.3.2)"
"PGEN_.00g074890",-2.47442240454451,FALSE,TRUE,"Day7_second","Uncharacterized methyltransferase-like C25B8.10 (EC 2.1.1.-)"
"PGEN_.00g074890",3.11277658081096,TRUE,FALSE,"Day14_primary","Uncharacterized methyltransferase-like C25B8.10 (EC 2.1.1.-)"
"PGEN_.00g074890",4.0040951366921,TRUE,FALSE,"Day21_primary","Uncharacterized methyltransferase-like C25B8.10 (EC 2.1.1.-)"
"PGEN_.00g076210",4.59701405996089,TRUE,FALSE,"Day21_primary",NA
"PGEN_.00g077390",2.32419282703968,TRUE,FALSE,"Day7_MAversusAM",NA
"PGEN_.00g077400",2.23605957326887,TRUE,FALSE,"Day7_MAversusAM",NA
"PGEN_.00g077410",2.72252332891674,TRUE,FALSE,"Day7_MAversusAM",NA
"PGEN_.00g077410",3.65035469602118,TRUE,FALSE,"Day7_second",NA
"PGEN_.00g078540",7.16048559515214,TRUE,FALSE,"Day21_primary","Collagen alpha-5(VI) chain (Collagen alpha-1(XXIX) chain)"
"PGEN_.00g078540",6.46301435059438,TRUE,FALSE,"Day14_primary","Collagen alpha-5(VI) chain (Collagen alpha-1(XXIX) chain)"
"PGEN_.00g078540",-2.86643181749112,FALSE,TRUE,"Day7_MAversusAM","Collagen alpha-5(VI) chain (Collagen alpha-1(XXIX) chain)"
"PGEN_.00g078540",-3.90609596777747,FALSE,TRUE,"Day7_second","Collagen alpha-5(VI) chain (Collagen alpha-1(XXIX) chain)"
"PGEN_.00g078550",-2.45926631341308,FALSE,TRUE,"Day7_MAversusAM","Collagen alpha-6(VI) chain"
"PGEN_.00g078550",-3.47680370831553,FALSE,TRUE,"Day7_second","Collagen alpha-6(VI) chain"
"PGEN_.00g078550",4.87808978818546,TRUE,FALSE,"Day14_primary","Collagen alpha-6(VI) chain"
"PGEN_.00g079020",3.09206541324501,TRUE,FALSE,"Day21_primary","Ankyrin repeat domain-containing protein 50"
"PGEN_.00g079270",-1.72732755509197,FALSE,TRUE,"Day7_MAversusAM",NA
"PGEN_.00g079270",-2.52328201412698,FALSE,TRUE,"Day7_second",NA
"PGEN_.00g079550",-3.01343763855318,FALSE,TRUE,"Day14_primary","SCO-spondin"
"PGEN_.00g082950",-2.17112549120315,FALSE,TRUE,"Day7_primary","Cytoplasmic FMR1-interacting protein (Specifically Rac1-associated protein 1) (DSra-1)"
"PGEN_.00g083480",-4.14855453395427,FALSE,TRUE,"Day14_primary",NA
"PGEN_.00g083520",1.61404199756978,TRUE,FALSE,"Day7_second","E3 ubiquitin-protein ligase TRIM33 (EC 2.3.2.27) (Ectodermin homolog) (RET-fused gene 7 protein) (Protein Rfg7) (RING-type E3 ubiquitin transferase TRIM33) (Transcription intermediary factor 1-gamma) (TIF1-gamma) (Tripartite motif-containing protein 33)"
"PGEN_.00g083740",-4.30177969661773,FALSE,TRUE,"Day14_primary",NA
"PGEN_.00g085780",-2.06070364733123,FALSE,TRUE,"Day7_MAversusAM","Transforming growth factor-beta-induced protein ig-h3 (Beta ig-h3) (Kerato-epithelin) (RGD-containing collagen-associated protein) (RGD-CAP)"
"PGEN_.00g085780",-2.9558636491644,FALSE,TRUE,"Day7_second","Transforming growth factor-beta-induced protein ig-h3 (Beta ig-h3) (Kerato-epithelin) (RGD-containing collagen-associated protein) (RGD-CAP)"
"PGEN_.00g085790",3.77701572873363,TRUE,FALSE,"Day7_primary","Transforming growth factor-beta-induced protein ig-h3 (Beta ig-h3) (MP70) (MP78)"
"PGEN_.00g085790",-2.22548570558348,FALSE,TRUE,"Day7_MAversusAM","Transforming growth factor-beta-induced protein ig-h3 (Beta ig-h3) (MP70) (MP78)"
"PGEN_.00g085790",5.47953523907522,TRUE,FALSE,"Day14_primary","Transforming growth factor-beta-induced protein ig-h3 (Beta ig-h3) (MP70) (MP78)"
"PGEN_.00g085800",4.20705816866671,TRUE,FALSE,"Day14_primary","Uncharacterized protein sll1483"
"PGEN_.00g085800",4.69732769553373,TRUE,FALSE,"Day21_primary","Uncharacterized protein sll1483"
"PGEN_.00g085950",2.30382926955448,TRUE,FALSE,"Day14_primary",NA
"PGEN_.00g086290",-3.76628015161025,FALSE,TRUE,"Day14_primary",NA
"PGEN_.00g086610",6.32837471731957,TRUE,FALSE,"Day14_primary","CD109 antigen (150 kDa TGF-beta-1-binding protein) (C3 and PZP-like alpha-2-macroglobulin domain-containing protein 7) (Platelet-specific Gov antigen) (p180) (r150) (CD antigen CD109)"
"PGEN_.00g086610",-2.77208485235898,FALSE,TRUE,"Day7_second","CD109 antigen (150 kDa TGF-beta-1-binding protein) (C3 and PZP-like alpha-2-macroglobulin domain-containing protein 7) (Platelet-specific Gov antigen) (p180) (r150) (CD antigen CD109)"
"PGEN_.00g086610",3.10038250379811,TRUE,FALSE,"Day7_primary","CD109 antigen (150 kDa TGF-beta-1-binding protein) (C3 and PZP-like alpha-2-macroglobulin domain-containing protein 7) (Platelet-specific Gov antigen) (p180) (r150) (CD antigen CD109)"
"PGEN_.00g086610",-2.32248255902445,FALSE,TRUE,"Day7_MAversusAM","CD109 antigen (150 kDa TGF-beta-1-binding protein) (C3 and PZP-like alpha-2-macroglobulin domain-containing protein 7) (Platelet-specific Gov antigen) (p180) (r150) (CD antigen CD109)"
"PGEN_.00g086660",-3.69317541669308,FALSE,TRUE,"Day7_second","CD109 antigen (150 kDa TGF-beta-1-binding protein) (C3 and PZP-like alpha-2-macroglobulin domain-containing protein 7) (Platelet-specific Gov antigen) (p180) (r150) (CD antigen CD109)"
"PGEN_.00g086660",6.30746055939259,TRUE,FALSE,"Day14_primary","CD109 antigen (150 kDa TGF-beta-1-binding protein) (C3 and PZP-like alpha-2-macroglobulin domain-containing protein 7) (Platelet-specific Gov antigen) (p180) (r150) (CD antigen CD109)"
"PGEN_.00g086660",-2.35839291048095,FALSE,TRUE,"Day7_MAversusAM","CD109 antigen (150 kDa TGF-beta-1-binding protein) (C3 and PZP-like alpha-2-macroglobulin domain-containing protein 7) (Platelet-specific Gov antigen) (p180) (r150) (CD antigen CD109)"
"PGEN_.00g087370",2.29386946411779,TRUE,FALSE,"Day7_second","Interferon-induced protein 44-like"
"PGEN_.00g087530",8.9714930042023,TRUE,FALSE,"Day21_primary","Scavenger receptor cysteine-rich domain superfamily protein (ApSRCR1)"
"PGEN_.00g087530",6.14502460600128,TRUE,FALSE,"Day14_primary","Scavenger receptor cysteine-rich domain superfamily protein (ApSRCR1)"
"PGEN_.00g087810",-4.44935156968028,FALSE,TRUE,"Day14_primary","Kielin/chordin-like protein (Cysteine-rich motor neuron 2 protein) (CRIM-2) (Kielin)"
"PGEN_.00g088100",5.23696152430283,TRUE,FALSE,"Day14_primary","Coadhesin (Fragment)"
"PGEN_.00g090200",3.47967024046583,TRUE,FALSE,"Day21_primary",NA
"PGEN_.00g091340",4.66415212222555,TRUE,FALSE,"Day14_primary","Collectin-12 (Collectin placenta protein 1) (CL-P1) (hCL-P1) (Nurse cell scavenger receptor 2) (Scavenger receptor class A member 4) (Scavenger receptor with C-type lectin)"
"PGEN_.00g091350",4.87434943692308,TRUE,FALSE,"Day14_primary","CD109 antigen (150 kDa TGF-beta-1-binding protein) (C3 and PZP-like alpha-2-macroglobulin domain-containing protein 7) (Platelet-specific Gov antigen) (p180) (r150) (CD antigen CD109)"
"PGEN_.00g092260",-10.9826423308761,FALSE,TRUE,"Day21_primary","CD109 antigen (150 kDa TGF-beta-1-binding protein) (C3 and PZP-like alpha-2-macroglobulin domain-containing protein 7) (Platelet-specific Gov antigen) (p180) (r150) (CD antigen CD109)"
"PGEN_.00g092260",-11.6204638480369,FALSE,TRUE,"Day7_primary","CD109 antigen (150 kDa TGF-beta-1-binding protein) (C3 and PZP-like alpha-2-macroglobulin domain-containing protein 7) (Platelet-specific Gov antigen) (p180) (r150) (CD antigen CD109)"
"PGEN_.00g092270",-7.30071220871789,FALSE,TRUE,"Day14_primary","CD109 antigen (150 kDa TGF-beta-1-binding protein) (C3 and PZP-like alpha-2-macroglobulin domain-containing protein 7) (Platelet-specific Gov antigen) (p180) (r150) (CD antigen CD109)"
"PGEN_.00g092270",2.47800965078904,TRUE,FALSE,"Day7_MAversusAM","CD109 antigen (150 kDa TGF-beta-1-binding protein) (C3 and PZP-like alpha-2-macroglobulin domain-containing protein 7) (Platelet-specific Gov antigen) (p180) (r150) (CD antigen CD109)"
"PGEN_.00g092270",-9.11015100450401,FALSE,TRUE,"Day21_primary","CD109 antigen (150 kDa TGF-beta-1-binding protein) (C3 and PZP-like alpha-2-macroglobulin domain-containing protein 7) (Platelet-specific Gov antigen) (p180) (r150) (CD antigen CD109)"
"PGEN_.00g092270",-6.08224543681215,FALSE,TRUE,"Day7_primary","CD109 antigen (150 kDa TGF-beta-1-binding protein) (C3 and PZP-like alpha-2-macroglobulin domain-containing protein 7) (Platelet-specific Gov antigen) (p180) (r150) (CD antigen CD109)"
"PGEN_.00g092320",3.65861285227321,TRUE,FALSE,"Day14_primary","Transforming growth factor-beta-induced protein ig-h3 (Beta ig-h3)"
"PGEN_.00g092520",1.50336951765569,TRUE,FALSE,"Day14_primary","Leucine-rich repeat-containing protein 59 (Ribosome-binding protein p34) (p34) [Cleaved into: Leucine-rich repeat-containing protein 59, N-terminally processed]"
"PGEN_.00g093430",-6.35174029270625,FALSE,TRUE,"Day14_primary","Creatine transporter"
"PGEN_.00g093430",-4.68629987595024,FALSE,TRUE,"Day7_primary","Creatine transporter"
"PGEN_.00g093570",-0.499897789434221,FALSE,TRUE,"Day7_second",NA
"PGEN_.00g093630",-3.64745340094085,FALSE,TRUE,"Day21_primary",NA
"PGEN_.00g093840",5.29846975226111,TRUE,FALSE,"Day14_primary","Alpha-2-macroglobulin-like protein 1 (C3 and PZP-like alpha-2-macroglobulin domain-containing protein 9)"
"PGEN_.00g094980",2.59192207308762,TRUE,FALSE,"Day7_primary","Neutral cholesterol ester hydrolase 1 (NCEH) (EC 3.1.1.-) (Arylacetamide deacetylase-like 1) (Chlorpyrifos oxon-binding protein) (CPO-BP)"
"PGEN_.00g094980",3.96761042480922,TRUE,FALSE,"Day21_primary","Neutral cholesterol ester hydrolase 1 (NCEH) (EC 3.1.1.-) (Arylacetamide deacetylase-like 1) (Chlorpyrifos oxon-binding protein) (CPO-BP)"
"PGEN_.00g095320",4.74303694096285,TRUE,FALSE,"Day14_primary","Interferon-induced very large GTPase 1 (Very large-inducible GTPase-1) (VLIG-1)"
"PGEN_.00g095380",-2.42595668073685,FALSE,TRUE,"Day7_MAversusAM","Transforming growth factor-beta-induced protein ig-h3 (Beta ig-h3) (Kerato-epithelin) (RGD-containing collagen-associated protein) (RGD-CAP)"
"PGEN_.00g095380",-2.95860286404204,FALSE,TRUE,"Day7_second","Transforming growth factor-beta-induced protein ig-h3 (Beta ig-h3) (Kerato-epithelin) (RGD-containing collagen-associated protein) (RGD-CAP)"
"PGEN_.00g095390",4.46032010838881,TRUE,FALSE,"Day14_primary","Transforming growth factor-beta-induced protein ig-h3 (Beta ig-h3)"
"PGEN_.00g096330",1.22078374330559,TRUE,FALSE,"Day7_MAversusAM","Autophagy-related protein 13"
"PGEN_.00g096560",7.84226597166469,TRUE,FALSE,"Day21_primary","Interferon-induced protein 44-like"
"PGEN_.00g096560",3.9160867508038,TRUE,FALSE,"Day14_primary","Interferon-induced protein 44-like"
"PGEN_.00g097890",-6.21367155408019,FALSE,TRUE,"Day21_primary",NA
"PGEN_.00g098060",-3.56281713282299,FALSE,TRUE,"Day7_primary",NA
"PGEN_.00g098060",1.80618678877677,TRUE,FALSE,"Day7_MAversusAM",NA
"PGEN_.00g098060",-3.27105501929616,FALSE,TRUE,"Day14_primary",NA
"PGEN_.00g098070",-6.78019174919739,FALSE,TRUE,"Day21_primary",NA
"PGEN_.00g101430",-13.079699159395,FALSE,TRUE,"Day21_primary",NA
"PGEN_.00g103630",3.81760064671485,TRUE,FALSE,"Day14_primary","Sodium/glucose cotransporter 2 (Na(+)/glucose cotransporter 2) (Low affinity sodium-glucose cotransporter) (Solute carrier family 5 member 2)"
"PGEN_.00g103630",3.73773274197487,TRUE,FALSE,"Day7_primary","Sodium/glucose cotransporter 2 (Na(+)/glucose cotransporter 2) (Low affinity sodium-glucose cotransporter) (Solute carrier family 5 member 2)"
"PGEN_.00g105690",4.66453782199733,TRUE,FALSE,"Day14_primary","Leucine-rich repeat-containing protein 15"
"PGEN_.00g106710",-1.94588553661024,FALSE,TRUE,"Day7_MAversusAM",NA
"PGEN_.00g106710",5.48849180086245,TRUE,FALSE,"Day14_primary",NA
"PGEN_.00g108630",-22.9653929606851,FALSE,TRUE,"Day21_primary","Endoplasmic reticulum membrane sensor NFE2L1 (Nuclear factor erythroid 2-related factor 1) (NF-E2-related factor 1) (NFE2-related factor 1) (Nuclear factor, erythroid derived 2, like 1) [Cleaved into: Transcription factor NRF1]"
"PGEN_.00g108670",-1.3774981450926,FALSE,TRUE,"Day14_primary",NA
"PGEN_.00g108800",-1.2035970853002,FALSE,TRUE,"Day7_MAversusAM","Angiotensin-converting enzyme (ACE) (EC 3.2.1.-) (EC 3.4.15.1) (Dipeptidyl carboxypeptidase I) (Kininase II) (Fragment)"
"PGEN_.00g108800",2.26030436848255,TRUE,FALSE,"Day14_primary","Angiotensin-converting enzyme (ACE) (EC 3.2.1.-) (EC 3.4.15.1) (Dipeptidyl carboxypeptidase I) (Kininase II) (Fragment)"
"PGEN_.00g108930",-1.28064371941676,FALSE,TRUE,"Day14_primary",NA
"PGEN_.00g110440",-1.46765710572287,FALSE,TRUE,"Day14_primary","Serine hydroxymethyltransferase, mitochondrial (SHMT) (EC 2.1.2.1) (Glycine hydroxymethyltransferase) (Serine methylase)"
"PGEN_.00g110480",4.67855308399172,TRUE,FALSE,"Day14_primary",NA
"PGEN_.00g111590",-1.70225907020974,FALSE,TRUE,"Day7_MAversusAM","Complement C1q tumor necrosis factor-related protein 4 (C1q/TNF-related protein 4)"
"PGEN_.00g112080",2.38481300676137,TRUE,FALSE,"Day21_primary","Monocarboxylate transporter 12 (MCT 12) (Creatine transporter 2) (CRT2) (Solute carrier family 16 member 12)"
"PGEN_.00g112860",-5.10560037639361,FALSE,TRUE,"Day14_primary",NA
"PGEN_.00g113260",3.35290855765474,TRUE,FALSE,"Day14_primary",NA
"PGEN_.00g113600",2.58684426180503,TRUE,FALSE,"Day7_primary","Calponin homolog OV9M"
"PGEN_.00g114200",5.12232575087075,TRUE,FALSE,"Day14_primary","Caprin-2 (C1q domain-containing protein 1) (Cytoplasmic activation/proliferation-associated protein 2) (RNA granule protein 140)"
"PGEN_.00g114200",-1.688949106758,FALSE,TRUE,"Day7_MAversusAM","Caprin-2 (C1q domain-containing protein 1) (Cytoplasmic activation/proliferation-associated protein 2) (RNA granule protein 140)"
"PGEN_.00g114240",-5.14472920659789,FALSE,TRUE,"Day14_primary",NA
"PGEN_.00g114310",-1.7128100435385,FALSE,TRUE,"Day14_primary","Macrophage mannose receptor 1 (MMR) (C-type lectin domain family 13 member D) (C-type lectin domain family 13 member D-like) (Human mannose receptor) (hMR) (Macrophage mannose receptor 1-like protein 1) (CD antigen CD206)"
"PGEN_.00g114360",-1.959191363565,FALSE,TRUE,"Day7_MAversusAM",NA
"PGEN_.00g114360",3.38109128691358,TRUE,FALSE,"Day7_primary",NA
"PGEN_.00g114410",-3.59389765550311,FALSE,TRUE,"Day14_primary",NA
"PGEN_.00g114780",-5.86054436641451,FALSE,TRUE,"Day7_primary","Monocarboxylate transporter 14 (MCT 14) (Solute carrier family 16 member 14)"
"PGEN_.00g115060",1.50921233598546,TRUE,FALSE,"Day14_primary","Eukaryotic translation initiation factor 4B (eIF-4B)"
"PGEN_.00g115560",6.01233984138588,TRUE,FALSE,"Day21_primary",NA
"PGEN_.00g115560",4.08333447515626,TRUE,FALSE,"Day14_primary",NA
"PGEN_.00g116130",-3.03998097572458,FALSE,TRUE,"Day7_second","Mucin-like protein (Fragment)"
"PGEN_.00g116130",3.79359225291383,TRUE,FALSE,"Day14_primary","Mucin-like protein (Fragment)"
"PGEN_.00g116130",-2.20656238490087,FALSE,TRUE,"Day7_MAversusAM","Mucin-like protein (Fragment)"
"PGEN_.00g116140",4.406339010654,TRUE,FALSE,"Day14_primary",NA
"PGEN_.00g116150",4.49534954781033,TRUE,FALSE,"Day14_primary","Collagen alpha-1(XII) chain (Fibrochimerin)"
"PGEN_.00g116660",5.316666988366,TRUE,FALSE,"Day14_primary",NA
"PGEN_.00g116940",4.93758609148598,TRUE,FALSE,"Day14_primary","Glutathione peroxidase (PcGPx) (Se-PcGPx) (EC 1.11.1.9)"
"PGEN_.00g116940",6.33796831993737,TRUE,FALSE,"Day21_primary","Glutathione peroxidase (PcGPx) (Se-PcGPx) (EC 1.11.1.9)"
"PGEN_.00g116950",-0.947844817759798,FALSE,TRUE,"Day14_primary","Methyl-CpG-binding domain protein 6 (Methyl-CpG-binding protein MBD6)"
"PGEN_.00g117550",7.7165573914043,TRUE,FALSE,"Day14_primary",NA
"PGEN_.00g117550",10.8256095791865,TRUE,FALSE,"Day21_primary",NA
"PGEN_.00g117570",11.0377415812149,TRUE,FALSE,"Day21_primary",NA
"PGEN_.00g117980",4.93893590940296,TRUE,FALSE,"Day14_primary","Equistatin"
"PGEN_.00g117980",9.10700518668287,TRUE,FALSE,"Day21_primary","Equistatin"
"PGEN_.00g118430",-2.65582716076572,FALSE,TRUE,"Day7_MAversusAM",NA
"PGEN_.00g118430",4.781847289397,TRUE,FALSE,"Day14_primary",NA
"PGEN_.00g118430",3.58343366693115,TRUE,FALSE,"Day7_primary",NA
"PGEN_.00g118430",-3.4897104542522,FALSE,TRUE,"Day7_second",NA
"PGEN_.00g118780",2.23530425482268,TRUE,FALSE,"Day7_second","Protein c-ets-1-A (C-ets-1A)"
"PGEN_.00g119160",-1.99946196631031,FALSE,TRUE,"Day7_MAversusAM","Perlucin"
"PGEN_.00g119160",-2.31581468119895,FALSE,TRUE,"Day7_second","Perlucin"
"PGEN_.00g119160",3.68585539130651,TRUE,FALSE,"Day14_primary","Perlucin"
"PGEN_.00g119160",2.63761289621588,TRUE,FALSE,"Day7_primary","Perlucin"
"PGEN_.00g119470",3.72347030234535,TRUE,FALSE,"Day7_primary","Cartilage matrix protein (Matrilin-1)"
"PGEN_.00g119470",-2.45117691063285,FALSE,TRUE,"Day7_MAversusAM","Cartilage matrix protein (Matrilin-1)"
"PGEN_.00g119470",-2.53618017920952,FALSE,TRUE,"Day7_second","Cartilage matrix protein (Matrilin-1)"
"PGEN_.00g119470",4.90479044250106,TRUE,FALSE,"Day14_primary","Cartilage matrix protein (Matrilin-1)"
"PGEN_.00g120210",2.19146969653798,TRUE,FALSE,"Day14_primary","Electron transfer flavoprotein subunit beta (Beta-ETF)"
"PGEN_.00g122020",4.49184274626048,TRUE,FALSE,"Day14_primary","Collagen alpha-1(XII) chain (Fibrochimerin)"
"PGEN_.00g122110",2.86791020981758,TRUE,FALSE,"Day14_primary","Poly(rC)-binding protein 3 (Alpha-CP3) (PCBP3-overlapping transcript) (PCBP3-overlapping transcript 1)"
"PGEN_.00g122110",2.32867822989474,TRUE,FALSE,"Day7_primary","Poly(rC)-binding protein 3 (Alpha-CP3) (PCBP3-overlapping transcript) (PCBP3-overlapping transcript 1)"
"PGEN_.00g122110",-1.69974185287715,FALSE,TRUE,"Day7_second","Poly(rC)-binding protein 3 (Alpha-CP3) (PCBP3-overlapping transcript) (PCBP3-overlapping transcript 1)"
"PGEN_.00g122110",-1.41445958831994,FALSE,TRUE,"Day7_MAversusAM","Poly(rC)-binding protein 3 (Alpha-CP3) (PCBP3-overlapping transcript) (PCBP3-overlapping transcript 1)"
"PGEN_.00g122510",-2.62746924707682,FALSE,TRUE,"Day7_MAversusAM",NA
"PGEN_.00g122510",7.06288881068178,TRUE,FALSE,"Day21_primary",NA
"PGEN_.00g122510",-3.40343625333428,FALSE,TRUE,"Day7_second",NA
"PGEN_.00g122510",5.15999425792695,TRUE,FALSE,"Day14_primary",NA
"PGEN_.00g122870",5.06277651715035,TRUE,FALSE,"Day14_primary","von Willebrand factor A domain-containing protein 7 (Protein G7c)"
"PGEN_.00g122870",-1.99842410133483,FALSE,TRUE,"Day7_MAversusAM","von Willebrand factor A domain-containing protein 7 (Protein G7c)"
"PGEN_.00g122870",-2.64813902456281,FALSE,TRUE,"Day7_second","von Willebrand factor A domain-containing protein 7 (Protein G7c)"
