"","Cgigas_PathwayID","Pathway_Description","Cgigas_KEGG_IDs","Gene_name","day_mod"
"277","crg04142","Lysosome","crg:105340688","epididymal secretory protein E1","Day14_blue"
"278","crg04142","Lysosome","crg:105340690","epididymal secretory protein E1-like","Day14_blue"
"279","crg04142","Lysosome","crg:105341804","sialin","Day14_blue"
"280","crg04142","Lysosome","crg:105342463","clathrin light chain A isoform X1","Day14_blue"
"281","crg04142","Lysosome","crg:105344064","cathepsin L1","Day14_blue"
"282","crg04142","Lysosome","crg:105344281","AP-1 complex subunit sigma-2 isoform X1","Day14_blue"
"283","crg04142","Lysosome","crg:105347059","prosaposin isoform X1","Day14_blue"
"284","crg04142","Lysosome","crg:105348565","endo-1,6-beta-D-glucanase BGN16.3","Day14_blue"
"285","crg03010","Ribosome","crg:105317506","40S ribosomal protein S11","Day14_blue"
"286","crg03010","Ribosome","crg:105319364","60S acidic ribosomal protein P0","Day14_blue"
"287","crg03010","Ribosome","crg:105319573","60S ribosomal protein L37a","Day14_blue"
"288","crg03010","Ribosome","crg:105321315","60S ribosomal protein L19","Day14_blue"
"289","crg03010","Ribosome","crg:105324073","60S ribosomal protein L12","Day14_blue"
"290","crg03010","Ribosome","crg:105324897","60S acidic ribosomal protein P2","Day14_blue"
"291","crg03010","Ribosome","crg:105325638","60S ribosomal protein L26-like","Day14_blue"
"292","crg03010","Ribosome","crg:105328421","LOW QUALITY PROTEIN: 39S ribosomal protein L2, mitochondrial-like","Day14_blue"
"293","crg03010","Ribosome","crg:105329912","60S acidic ribosomal protein P1","Day14_blue"
"294","crg03010","Ribosome","crg:105330605","60S ribosomal protein L30","Day14_blue"
"295","crg03010","Ribosome","crg:105331823","40S ribosomal protein S24-like isoform X1","Day14_blue"
"296","crg03010","Ribosome","crg:105332191","40S ribosomal protein S2","Day14_blue"
"297","crg03010","Ribosome","crg:105332495","40S ribosomal protein S4","Day14_blue"
"298","crg03010","Ribosome","crg:105333469","60S ribosomal protein L35a","Day14_blue"
"299","crg03010","Ribosome","crg:105335873","40S ribosomal protein S3","Day14_blue"
"300","crg03010","Ribosome","crg:105338035","60S ribosomal protein L11","Day14_blue"
"301","crg03010","Ribosome","crg:105338085","40S ribosomal protein S13","Day14_blue"
"302","crg03010","Ribosome","crg:105338606","60S ribosomal protein L5-like","Day14_blue"
"303","crg03010","Ribosome","crg:105338870","60S ribosomal protein L7a","Day14_blue"
"304","crg03010","Ribosome","crg:105339837","40S ribosomal protein S14","Day14_blue"
"305","crg03010","Ribosome","crg:105340032","40S ribosomal protein S8","Day14_blue"
"306","crg03010","Ribosome","crg:105340582","Rps20; 40S ribosomal protein S20","Day14_blue"
"307","crg03010","Ribosome","crg:105341326","40S ribosomal protein S6-like","Day14_blue"
"308","crg03010","Ribosome","crg:105342025","60S ribosomal protein L8-like isoform X1","Day14_blue"
"309","crg03010","Ribosome","crg:105342397","ubiquitin-40S ribosomal protein S27a","Day14_blue"
"310","crg03010","Ribosome","crg:105342603","60S ribosomal protein L24","Day14_blue"
"311","crg03010","Ribosome","crg:105344628","40S ribosomal protein S16","Day14_blue"
"312","crg03010","Ribosome","crg:105344646","60S ribosomal protein L7","Day14_blue"
"313","crg03010","Ribosome","crg:105347132","ubiquitin","Day14_blue"
"314","crg03010","Ribosome","crg:105347326","40S ribosomal protein S3a","Day14_blue"
"315","crg03010","Ribosome","crg:105347733","60S ribosomal protein L27","Day14_blue"
"316","crg03010","Ribosome","crg:105347800","40S ribosomal protein S18","Day14_blue"
"317","crg03010","Ribosome","crg:105348141","60S ribosomal protein L44-like","Day14_blue"
"318","crg03010","Ribosome","crg:105348361","60S ribosomal protein L9","Day14_blue"
"319","crg03010","Ribosome","crg:105348430","40S ribosomal protein S23","Day14_blue"
"320","crg00190","Oxidative phosphorylation","crg:105318424","NADH dehydrogenase [ubiquinone] flavoprotein 2, mitochondrial-like","Day14_pink"
"321","crg00190","Oxidative phosphorylation","crg:105319097","ATP synthase subunit beta, mitochondrial","Day14_pink"
"322","crg00190","Oxidative phosphorylation","crg:105319162","LOW QUALITY PROTEIN: ATP synthase lipid-binding protein, mitochondrial-like","Day14_pink"
"323","crg00190","Oxidative phosphorylation","crg:105323421","probable NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 12","Day14_pink"
"324","crg00190","Oxidative phosphorylation","crg:105332067","ATP synthase subunit alpha, mitochondrial-like","Day14_pink"
"325","crg00190","Oxidative phosphorylation","crg:105338985","ATP synthase subunit gamma, mitochondrial","Day14_pink"
"326","crg00190","Oxidative phosphorylation","crg:105340053","cytochrome c oxidase subunit 5A, mitochondrial","Day14_pink"
"327","crg00190","Oxidative phosphorylation","crg:105340141","NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 5-like","Day14_pink"
"328","crg00190","Oxidative phosphorylation","crg:105343349","ATP synthase subunit delta, mitochondrial","Day14_pink"
"329","crg00190","Oxidative phosphorylation","crg:105344113","NADH-ubiquinone oxidoreductase subunit 8","Day14_pink"
"330","crg00190","Oxidative phosphorylation","crg:105347217","cytochrome c oxidase subunit 4 isoform 1, mitochondrial-like","Day14_pink"
"331","crg00190","Oxidative phosphorylation","crg:109618245","NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 6-like","Day14_pink"
"332","crg04144","Endocytosis","crg:105317406","early endosome antigen 1","Day21_blue"
"333","crg04144","Endocytosis","crg:105317810","AP-2 complex subunit sigma isoform X1","Day21_blue"
"334","crg04144","Endocytosis","crg:105318650","vacuolar protein sorting-associated protein 29","Day21_blue"
"335","crg04144","Endocytosis","crg:105322050","WASH complex subunit SWIP","Day21_blue"
"336","crg04144","Endocytosis","crg:105324709","E3 ubiquitin-protein ligase Mdm2 isoform X1","Day21_blue"
"337","crg04144","Endocytosis","crg:105325264","IST1 homolog","Day21_blue"
"338","crg04144","Endocytosis","crg:105325897","arf-GAP with GTPase, ANK repeat and PH domain-containing protein 3 isoform X5","Day21_blue"
"339","crg04144","Endocytosis","crg:105326340","signal transducing adapter molecule 2-like isoform X1","Day21_blue"
"340","crg04144","Endocytosis","crg:105327720","programmed cell death 6-interacting protein isoform X1","Day21_blue"
"341","crg04144","Endocytosis","crg:105332531","ras-related protein rab7","Day21_blue"
"342","crg04144","Endocytosis","crg:105333224","AP-2 complex subunit alpha-2","Day21_blue"
"343","crg04144","Endocytosis","crg:105334311","ras-related protein Rab-11A","Day21_blue"
"344","crg04144","Endocytosis","crg:105335021","sorting nexin-2","Day21_blue"
"345","crg04144","Endocytosis","crg:105338791","PH and SEC7 domain-containing protein 1 isoform X1","Day21_blue"
"346","crg04144","Endocytosis","crg:105339958","cation-independent mannose-6-phosphate receptor","Day21_blue"
"347","crg04144","Endocytosis","crg:105340059","clathrin heavy chain 1 isoform X1","Day21_blue"
"348","crg04144","Endocytosis","crg:105342074","sorting nexin-6","Day21_blue"
"349","crg04144","Endocytosis","crg:105342463","clathrin light chain A isoform X1","Day21_blue"
"350","crg04144","Endocytosis","crg:105342944","caveolin-1","Day21_blue"
"351","crg04144","Endocytosis","crg:105345550","low density lipoprotein receptor adapter protein 1-A","Day21_blue"
"352","crg04144","Endocytosis","crg:105347007","ras-related protein Rab-35-like","Day21_blue"
"353","crg00071","Fatty acid degradation","crg:105321895","medium-chain specific acyl-CoA dehydrogenase, mitochondrial-like","Day21_blue"
"354","crg00071","Fatty acid degradation","crg:105333437","long-chain specific acyl-CoA dehydrogenase, mitochondrial","Day21_blue"
"355","crg00071","Fatty acid degradation","crg:105335622","enoyl-CoA delta isomerase 2, peroxisomal","Day21_blue"
"356","crg00071","Fatty acid degradation","crg:105336470","alcohol dehydrogenase class-3 isoform X1","Day21_blue"
"357","crg00071","Fatty acid degradation","crg:105339789","peroxisomal acyl-coenzyme A oxidase 1","Day21_blue"
"358","crg00071","Fatty acid degradation","crg:105342925","long-chain-fatty-acid--CoA ligase 4","Day21_blue"
"359","crg00071","Fatty acid degradation","crg:105346656","peroxisomal acyl-coenzyme A oxidase 3 isoform X1","Day21_blue"
"360","crg00071","Fatty acid degradation","crg:105348652","hydroxyacyl-coenzyme A dehydrogenase, mitochondrial","Day21_blue"
"361","crg01212","Fatty acid metabolism","crg:105321895","medium-chain specific acyl-CoA dehydrogenase, mitochondrial-like","Day21_blue"
"362","crg01212","Fatty acid metabolism","crg:105330728","estradiol 17-beta-dehydrogenase 8-like","Day21_blue"
"363","crg01212","Fatty acid metabolism","crg:105333437","long-chain specific acyl-CoA dehydrogenase, mitochondrial","Day21_blue"
"364","crg01212","Fatty acid metabolism","crg:105339056","non-specific lipid-transfer protein","Day21_blue"
"365","crg01212","Fatty acid metabolism","crg:105339789","peroxisomal acyl-coenzyme A oxidase 1","Day21_blue"
"366","crg01212","Fatty acid metabolism","crg:105340049","lysosomal thioesterase PPT2-A isoform X1","Day21_blue"
"367","crg01212","Fatty acid metabolism","crg:105341564","very-long-chain 3-oxoacyl-CoA reductase-like isoform X2","Day21_blue"
"368","crg01212","Fatty acid metabolism","crg:105342925","long-chain-fatty-acid--CoA ligase 4","Day21_blue"
"369","crg01212","Fatty acid metabolism","crg:105346656","peroxisomal acyl-coenzyme A oxidase 3 isoform X1","Day21_blue"
"370","crg01212","Fatty acid metabolism","crg:105348652","hydroxyacyl-coenzyme A dehydrogenase, mitochondrial","Day21_blue"
"371","crg04142","Lysosome","crg:105318218","V-type proton ATPase subunit d-like","Day21_blue"
"372","crg04142","Lysosome","crg:105318342","V-type proton ATPase subunit H isoform X1","Day21_blue"
"373","crg04142","Lysosome","crg:105319353","legumain-like","Day21_blue"
"374","crg04142","Lysosome","crg:105320698","ganglioside GM2 activator","Day21_blue"
"375","crg04142","Lysosome","crg:105321566","V-type proton ATPase 16 kDa proteolipid subunit-like","Day21_blue"
"376","crg04142","Lysosome","crg:105326821","alpha-galactosidase A","Day21_blue"
"377","crg04142","Lysosome","crg:105328916","cathepsin B","Day21_blue"
"378","crg04142","Lysosome","crg:105329422","lysosome membrane protein 2-like","Day21_blue"
"379","crg04142","Lysosome","crg:105331760","cathepsin L1-like","Day21_blue"
"380","crg04142","Lysosome","crg:105333214","battenin isoform X2","Day21_blue"
"381","crg04142","Lysosome","crg:105334333","galactocerebrosidase","Day21_blue"
"382","crg04142","Lysosome","crg:105335927","cathepsin O-like","Day21_blue"
"383","crg04142","Lysosome","crg:105335967","ADP-ribosylation factor-binding protein GGA1 isoform X1","Day21_blue"
"384","crg04142","Lysosome","crg:105338347","Niemann-Pick C1 protein-like","Day21_blue"
"385","crg04142","Lysosome","crg:105338648","ectonucleoside triphosphate diphosphohydrolase 7","Day21_blue"
"386","crg04142","Lysosome","crg:105338683","AP-3 complex subunit beta-2 isoform X1","Day21_blue"
"387","crg04142","Lysosome","crg:105339566","dipeptidyl peptidase 1","Day21_blue"
"388","crg04142","Lysosome","crg:105339958","cation-independent mannose-6-phosphate receptor","Day21_blue"
"389","crg04142","Lysosome","crg:105340049","lysosomal thioesterase PPT2-A isoform X1","Day21_blue"
"390","crg04142","Lysosome","crg:105340059","clathrin heavy chain 1 isoform X1","Day21_blue"
"391","crg04142","Lysosome","crg:105340690","epididymal secretory protein E1-like","Day21_blue"
"392","crg04142","Lysosome","crg:105340763","beta-galactosidase isoform X1","Day21_blue"
"393","crg04142","Lysosome","crg:105341804","sialin","Day21_blue"
"394","crg04142","Lysosome","crg:105342463","clathrin light chain A isoform X1","Day21_blue"
"395","crg04142","Lysosome","crg:105347059","prosaposin isoform X1","Day21_blue"
"396","crg04146","Peroxisome","crg:105320852","xanthine dehydrogenase/oxidase","Day21_blue"
"397","crg04146","Peroxisome","crg:105325181","2-hydroxyacyl-CoA lyase 1-like","Day21_blue"
"398","crg04146","Peroxisome","crg:105325406","peroxisomal carnitine O-octanoyltransferase","Day21_blue"
"399","crg04146","Peroxisome","crg:105329358","peroxisomal membrane protein 2","Day21_blue"
"400","crg04146","Peroxisome","crg:105330227","isocitrate dehydrogenase [NADP] cytoplasmic","Day21_blue"
"401","crg04146","Peroxisome","crg:105333701","carnitine O-acetyltransferase isoform X1","Day21_blue"
"402","crg04146","Peroxisome","crg:105336995","dehydrogenase/reductase SDR family member 4-like","Day21_blue"
"403","crg04146","Peroxisome","crg:105339056","non-specific lipid-transfer protein","Day21_blue"
"404","crg04146","Peroxisome","crg:105339789","peroxisomal acyl-coenzyme A oxidase 1","Day21_blue"
"405","crg04146","Peroxisome","crg:105339902","catalase","Day21_blue"
"406","crg04146","Peroxisome","crg:105342001","peroxisomal 2,4-dienoyl-CoA reductase-like","Day21_blue"
"407","crg04146","Peroxisome","crg:105342925","long-chain-fatty-acid--CoA ligase 4","Day21_blue"
"408","crg04146","Peroxisome","crg:105346656","peroxisomal acyl-coenzyme A oxidase 3 isoform X1","Day21_blue"
"409","crg04145","Phagosome","crg:105318218","V-type proton ATPase subunit d-like","Day21_blue"
"410","crg04145","Phagosome","crg:105318342","V-type proton ATPase subunit H isoform X1","Day21_blue"
"411","crg04145","Phagosome","crg:105321566","V-type proton ATPase 16 kDa proteolipid subunit-like","Day21_blue"
"412","crg04145","Phagosome","crg:105321678","V-type proton ATPase catalytic subunit A","Day21_blue"
"413","crg04145","Phagosome","crg:105322492","integrin beta-1-B-like precursor","Day21_blue"
"414","crg04145","Phagosome","crg:105328999","V-type proton ATPase subunit B","Day21_blue"
"415","crg04145","Phagosome","crg:105331760","cathepsin L1-like","Day21_blue"
"416","crg04145","Phagosome","crg:105332531","ras-related protein rab7","Day21_blue"
"417","crg04145","Phagosome","crg:105336770","V-type proton ATPase subunit D","Day21_blue"
"418","crg04145","Phagosome","crg:105338263","1-phosphatidylinositol 3-phosphate 5-kinase isoform X1","Day21_blue"
"419","crg04145","Phagosome","crg:105338620","cytoplasmic dynein 1 light intermediate chain 2 isoform X1","Day21_blue"
"420","crg04145","Phagosome","crg:105343071","tubulin beta chain","Day21_blue"
"421","crg04145","Phagosome","crg:105344224","ras-related C3 botulinum toxin substrate 2","Day21_blue"
"422","crg04145","Phagosome","crg:105345691","V-type proton ATPase subunit G","Day21_blue"
"423","crg04145","Phagosome","crg:105347347","tubulin alpha-1A chain","Day21_blue"
"424","crg00600","Sphingolipid metabolism","crg:105330505","serine palmitoyltransferase 2 isoform X2","Day21_blue"
"425","crg00600","Sphingolipid metabolism","crg:105334190","sphingosine-1-phosphate phosphatase 2","Day21_blue"
"426","crg00600","Sphingolipid metabolism","crg:105334232","sphingosine kinase 2-like","Day21_blue"
"427","crg00600","Sphingolipid metabolism","crg:105334333","galactocerebrosidase","Day21_blue"
"428","crg00600","Sphingolipid metabolism","crg:105338792","sphingosine-1-phosphate lyase 1","Day21_blue"
"429","crg00600","Sphingolipid metabolism","crg:105340763","beta-galactosidase isoform X1","Day21_blue"
"430","crg00600","Sphingolipid metabolism","crg:105347059","prosaposin isoform X1","Day21_blue"
"431","crg00600","Sphingolipid metabolism","crg:105347438","neutral ceramidase","Day21_blue"
"432","crg00190","Oxidative phosphorylation","crg:105318424","NADH dehydrogenase [ubiquinone] flavoprotein 2, mitochondrial-like","Day21_magenta"
"433","crg00190","Oxidative phosphorylation","crg:105319097","ATP synthase subunit beta, mitochondrial","Day21_magenta"
"434","crg00190","Oxidative phosphorylation","crg:105319162","LOW QUALITY PROTEIN: ATP synthase lipid-binding protein, mitochondrial-like","Day21_magenta"
"435","crg00190","Oxidative phosphorylation","crg:105319312","NADH dehydrogenase [ubiquinone] iron-sulfur protein 3, mitochondrial","Day21_magenta"
"436","crg00190","Oxidative phosphorylation","crg:105323421","probable NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 12","Day21_magenta"
"437","crg00190","Oxidative phosphorylation","crg:105328413","NADH dehydrogenase [ubiquinone] iron-sulfur protein 4, mitochondrial isoform X2","Day21_magenta"
"438","crg00190","Oxidative phosphorylation","crg:105332067","ATP synthase subunit alpha, mitochondrial-like","Day21_magenta"
"439","crg00190","Oxidative phosphorylation","crg:105337089","succinate dehydrogenase [ubiquinone] flavoprotein subunit, mitochondrial","Day21_magenta"
"440","crg00190","Oxidative phosphorylation","crg:105338985","ATP synthase subunit gamma, mitochondrial","Day21_magenta"
"441","crg00190","Oxidative phosphorylation","crg:105343349","ATP synthase subunit delta, mitochondrial","Day21_magenta"
"442","crg00190","Oxidative phosphorylation","crg:105344113","NADH-ubiquinone oxidoreductase subunit 8","Day21_magenta"
"443","crg00190","Oxidative phosphorylation","crg:105347217","cytochrome c oxidase subunit 4 isoform 1, mitochondrial-like","Day21_magenta"
"444","crg00190","Oxidative phosphorylation","crg:109618245","NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 6-like","Day21_magenta"
"445","crg03010","Ribosome","crg:105317113","60S ribosomal protein L10a-like","Day21_magenta"
"446","crg03010","Ribosome","crg:105317506","40S ribosomal protein S11","Day21_magenta"
"447","crg03010","Ribosome","crg:105318789","40S ribosomal protein S26","Day21_magenta"
"448","crg03010","Ribosome","crg:105319021","60S ribosomal protein L15","Day21_magenta"
"449","crg03010","Ribosome","crg:105319364","60S acidic ribosomal protein P0","Day21_magenta"
"450","crg03010","Ribosome","crg:105319573","60S ribosomal protein L37a","Day21_magenta"
"451","crg03010","Ribosome","crg:105319797","40S ribosomal protein S7","Day21_magenta"
"452","crg03010","Ribosome","crg:105321315","60S ribosomal protein L19","Day21_magenta"
"453","crg03010","Ribosome","crg:105321543","60S ribosomal protein L21-like","Day21_magenta"
"454","crg03010","Ribosome","crg:105321589","60S ribosomal protein L6","Day21_magenta"
"455","crg03010","Ribosome","crg:105323167","40S ribosomal protein S27-like","Day21_magenta"
"456","crg03010","Ribosome","crg:105324073","60S ribosomal protein L12","Day21_magenta"
"457","crg03010","Ribosome","crg:105325638","60S ribosomal protein L26-like","Day21_magenta"
"458","crg03010","Ribosome","crg:105325786","39S ribosomal protein L27, mitochondrial-like","Day21_magenta"
"459","crg03010","Ribosome","crg:105330130","60S ribosomal protein L4","Day21_magenta"
"460","crg03010","Ribosome","crg:105331157","40S ribosomal protein S15Aa","Day21_magenta"
"461","crg03010","Ribosome","crg:105331823","40S ribosomal protein S24-like isoform X1","Day21_magenta"
"462","crg03010","Ribosome","crg:105332191","40S ribosomal protein S2","Day21_magenta"
"463","crg03010","Ribosome","crg:105333469","60S ribosomal protein L35a","Day21_magenta"
"464","crg03010","Ribosome","crg:105335803","60S ribosomal protein L13a","Day21_magenta"
"465","crg03010","Ribosome","crg:105335873","40S ribosomal protein S3","Day21_magenta"
"466","crg03010","Ribosome","crg:105337115","60S ribosomal protein L32","Day21_magenta"
"467","crg03010","Ribosome","crg:105337988","39S ribosomal protein L21, mitochondrial","Day21_magenta"
"468","crg03010","Ribosome","crg:105338035","60S ribosomal protein L11","Day21_magenta"
"469","crg03010","Ribosome","crg:105338085","40S ribosomal protein S13","Day21_magenta"
"470","crg03010","Ribosome","crg:105338606","60S ribosomal protein L5-like","Day21_magenta"
"471","crg03010","Ribosome","crg:105338870","60S ribosomal protein L7a","Day21_magenta"
"472","crg03010","Ribosome","crg:105338952","28S ribosomal protein S14, mitochondrial","Day21_magenta"
"473","crg03010","Ribosome","crg:105339104","40S ribosomal protein S25","Day21_magenta"
"474","crg03010","Ribosome","crg:105339837","40S ribosomal protein S14","Day21_magenta"
"475","crg03010","Ribosome","crg:105340032","40S ribosomal protein S8","Day21_magenta"
"476","crg03010","Ribosome","crg:105340582","Rps20; 40S ribosomal protein S20","Day21_magenta"
"477","crg03010","Ribosome","crg:105341326","40S ribosomal protein S6-like","Day21_magenta"
"478","crg03010","Ribosome","crg:105342025","60S ribosomal protein L8-like isoform X1","Day21_magenta"
"479","crg03010","Ribosome","crg:105342397","ubiquitin-40S ribosomal protein S27a","Day21_magenta"
"480","crg03010","Ribosome","crg:105342603","60S ribosomal protein L24","Day21_magenta"
"481","crg03010","Ribosome","crg:105344628","40S ribosomal protein S16","Day21_magenta"
"482","crg03010","Ribosome","crg:105344646","60S ribosomal protein L7","Day21_magenta"
"483","crg03010","Ribosome","crg:105347132","ubiquitin","Day21_magenta"
"484","crg03010","Ribosome","crg:105347326","40S ribosomal protein S3a","Day21_magenta"
"485","crg03010","Ribosome","crg:105347733","60S ribosomal protein L27","Day21_magenta"
"486","crg03010","Ribosome","crg:105347800","40S ribosomal protein S18","Day21_magenta"
"487","crg03010","Ribosome","crg:105348141","60S ribosomal protein L44-like","Day21_magenta"
"488","crg03010","Ribosome","crg:105348361","60S ribosomal protein L9","Day21_magenta"
"489","crg03010","Ribosome","crg:105348430","40S ribosomal protein S23","Day21_magenta"
